# r (m)    potential (V)
             0       -3538.93
        0.0003       -3537.85
        0.0006       -3542.47
        0.0009       -3550.67
        0.0012       -3566.61
        0.0015       -3595.01
        0.0018       -3640.25
        0.0021       -3699.28
        0.0024       -3770.39
        0.0027       -3854.69
         0.003       -3958.38
        0.0033       -4081.56
        0.0036       -4223.42
        0.0039       -4387.68
        0.0042       -4577.46
        0.0045       -4796.55
        0.0048          -5000
        0.0051          -5000
        0.0054          -5000
        0.0057          -5000
         0.006       -4343.87
        0.0063       -3731.61
        0.0066       -3228.54
        0.0069       -2805.21
        0.0072       -2442.05
        0.0075       -2126.64
        0.0078       -1849.88
        0.0081       -1605.88
        0.0084       -1391.12
        0.0087       -1199.69
         0.009        -1027.7
        0.0093        -873.17
        0.0096       -734.659
        0.0099       -610.428
        0.0102       -497.813
        0.0105       -395.656
        0.0108       -302.868
        0.0111        -218.85
        0.0114       -144.628
        0.0117       -78.3285
         0.012       -19.1765
        0.0123        33.3445
        0.0126        80.3848
        0.0129        121.789
        0.0132        158.289
        0.0135        190.229
        0.0138        218.086
        0.0141        242.509
        0.0144        261.425
        0.0147        275.367
         0.015          284.9
        0.0153        292.038
        0.0156        296.518
        0.0159        298.362
        0.0162        297.627
        0.0165        294.348
        0.0168        288.513
        0.0171        280.053
        0.0174        268.832
        0.0177        254.619
         0.018        237.039
        0.0183        215.506
        0.0186        189.095
        0.0189        156.301
        0.0192         114.51
        0.0195        58.7404
        0.0198              0
        0.0201              0
        0.0204              0
        0.0207        10.3766
         0.021        74.6821
        0.0213        119.156
        0.0216        151.938
        0.0219        177.144
        0.0222        197.077
        0.0225         213.14
        0.0228        226.251
        0.0231        237.041
        0.0234        245.963
        0.0237        253.356
         0.024        259.478
        0.0243        264.533
        0.0246        268.681
        0.0249        272.053
        0.0252        274.758
        0.0255        276.882
        0.0258        278.499
        0.0261        279.665
        0.0264        280.416
        0.0267         280.76
         0.027        280.672
        0.0273        280.152
        0.0276        279.307
        0.0279        278.219
        0.0282        276.935
        0.0285        275.484
        0.0288         273.89
        0.0291        272.173
        0.0294        270.352
        0.0297        268.442
          0.03         266.46
        0.0303        264.418
        0.0306        262.329
        0.0309        260.202
        0.0312        258.046
        0.0315        255.869
        0.0318        253.678
        0.0321        251.477
        0.0324        249.273
        0.0327         247.07
         0.033        244.872
        0.0333        242.683
        0.0336        240.507
        0.0339        238.346
        0.0342        236.203
        0.0345        234.081
        0.0348        231.983
        0.0351         229.91
        0.0354        227.867
        0.0357        225.854
         0.036        223.874
        0.0363        221.929
        0.0366        220.019
        0.0369        218.146
        0.0372        216.311
        0.0375        214.512
        0.0378        212.751
        0.0381        211.027
        0.0384        209.337
        0.0387        207.681
         0.039        206.058
        0.0393        204.466
        0.0396        202.907
        0.0399        201.379
        0.0402        199.884
        0.0405        198.423
        0.0408        196.999
        0.0411        195.616
        0.0414        194.276
        0.0417        192.984
         0.042        191.743
        0.0423        190.556
        0.0426        189.426
        0.0429        188.357
        0.0432         187.35
        0.0435        186.406
        0.0438        185.528
        0.0441        184.715
        0.0444        183.969
        0.0447         183.29
         0.045        182.677
        0.0453         182.13
        0.0456         181.65
        0.0459        181.234
        0.0462        180.885
        0.0465        180.599
        0.0468        180.378
        0.0471         180.22
        0.0474        180.126
        0.0477        180.094
