# r (m)    potential (V)
             0       -3538.93
        0.0003       -3544.56
        0.0006       -3561.22
        0.0009       -3591.34
        0.0012       -3630.45
        0.0015        -3679.4
        0.0018       -3741.77
        0.0021       -3818.46
        0.0024       -3906.83
        0.0027       -4006.79
         0.003       -4121.63
        0.0033       -4254.48
        0.0036       -4405.75
        0.0039       -4576.98
        0.0042       -4769.62
        0.0045       -4974.12
        0.0048          -5000
        0.0051          -5000
        0.0054          -5000
        0.0057       -4430.63
         0.006       -3861.97
        0.0063       -3381.22
        0.0066       -2972.41
        0.0069       -2621.42
        0.0072       -2316.66
        0.0075       -2050.42
        0.0078       -1815.51
        0.0081       -1606.47
        0.0084       -1419.85
        0.0087       -1253.27
         0.009       -1103.79
        0.0093       -970.145
        0.0096       -849.779
        0.0099        -741.49
        0.0102       -644.044
        0.0105       -555.367
        0.0108       -474.211
        0.0111       -400.719
        0.0114       -334.002
        0.0117        -273.63
         0.012       -218.636
        0.0123       -168.464
        0.0126       -122.807
        0.0129       -81.1395
        0.0132       -43.2423
        0.0135       -9.23201
        0.0138        21.3108
        0.0141        48.9055
        0.0144        73.8569
        0.0147        96.0711
         0.015        116.049
        0.0153        134.195
        0.0156            150
        0.0159        162.589
        0.0162        173.677
        0.0165        183.647
        0.0168        192.498
        0.0171        200.181
        0.0174         206.36
        0.0177        211.468
         0.018         215.61
        0.0183         218.89
        0.0186        221.356
        0.0189        223.096
        0.0192        224.249
        0.0195        224.834
        0.0198         224.64
        0.0201          221.8
        0.0204        218.163
        0.0207        214.679
         0.021        211.179
        0.0213        207.588
        0.0216        203.871
        0.0219         200.02
        0.0222        196.029
        0.0225        191.878
        0.0228        187.508
        0.0231        182.811
        0.0234        177.792
        0.0237        172.614
         0.024        167.406
        0.0243         162.28
        0.0246        157.549
        0.0249        151.476
        0.0252        144.006
        0.0255        137.033
        0.0258        130.231
        0.0261        123.482
        0.0264        116.699
        0.0267        109.759
         0.027        102.546
        0.0273         95.071
        0.0276        87.4248
        0.0279        79.3441
        0.0282        68.7819
        0.0285        57.8702
        0.0288        46.8989
        0.0291         35.922
        0.0294        24.9832
        0.0297        14.1122
          0.03        3.32457
        0.0303              0
        0.0306              0
        0.0309              0
        0.0312              0
        0.0315              0
        0.0318       0.465177
        0.0321        2.97842
        0.0324        5.46105
        0.0327        7.90697
         0.033        10.3133
        0.0333        12.6804
        0.0336        15.0117
        0.0339        17.3136
        0.0342        19.5939
        0.0345        21.8648
        0.0348        24.0305
        0.0351        25.9112
        0.0354        27.4666
        0.0357        28.7994
         0.036        30.0118
        0.0363        31.2004
        0.0366        32.3777
        0.0369        33.5358
        0.0372        34.6665
        0.0375        35.7654
        0.0378        36.8277
        0.0381        37.8481
        0.0384        38.8229
        0.0387        39.7522
         0.039        40.6369
        0.0393        41.4747
        0.0396        42.2614
        0.0399        42.9899
        0.0402        43.6521
        0.0405        44.2562
        0.0408        44.8149
        0.0411        45.3355
        0.0414        45.8216
        0.0417        46.2769
         0.042        46.6999
        0.0423        47.0923
        0.0426        47.4568
        0.0429        47.7955
        0.0432        48.1078
        0.0435        48.3939
        0.0438        48.6548
        0.0441        48.8918
        0.0444        49.1052
        0.0447        49.2953
         0.045        49.4629
        0.0453        49.6088
        0.0456        49.7339
        0.0459        49.8389
        0.0462        49.9248
        0.0465        49.9927
        0.0468        50.0437
        0.0471        50.0791
        0.0474        50.0999
        0.0477        50.1067
