# r (m)    potential (V)
             0       -3538.93
        0.0003       -3535.42
        0.0006       -3543.84
        0.0009       -3565.09
        0.0012       -3595.85
        0.0015       -3637.58
        0.0018          -3693
        0.0021       -3759.58
        0.0024       -3837.01
        0.0027       -3926.05
         0.003       -4027.98
        0.0033       -4145.21
        0.0036        -4279.7
        0.0039       -4433.79
        0.0042       -4611.32
        0.0045       -4813.96
        0.0048          -5000
        0.0051          -5000
        0.0054          -5000
        0.0057          -5000
         0.006       -4366.82
        0.0063       -3775.07
        0.0066       -3288.13
        0.0069        -2877.5
        0.0072       -2526.01
        0.0075       -2221.28
        0.0078       -1954.33
        0.0081       -1717.99
        0.0084       -1507.33
        0.0087       -1318.34
         0.009        -1148.6
        0.0093       -995.662
        0.0096       -857.452
        0.0099       -731.989
        0.0102       -618.422
        0.0105       -514.659
        0.0108       -420.588
        0.0111       -334.991
        0.0114       -257.212
        0.0117       -186.659
         0.012       -123.627
        0.0123        -66.549
        0.0126        -14.829
        0.0129        30.9048
        0.0132        73.0528
        0.0135        111.049
        0.0138        145.522
        0.0141         177.06
        0.0144        207.138
        0.0147        236.343
         0.015        263.663
        0.0153        284.327
        0.0156        298.578
        0.0159        307.842
        0.0162        318.524
        0.0165        329.401
        0.0168         339.43
        0.0171        347.636
        0.0174        354.198
        0.0177        360.561
         0.018        365.293
        0.0183        369.558
        0.0186        373.773
        0.0189        377.775
        0.0192        381.653
        0.0195        385.476
        0.0198         387.91
        0.0201        388.212
        0.0204        385.439
        0.0207         382.58
         0.021        380.351
        0.0213        378.605
        0.0216        377.141
        0.0219        375.715
        0.0222        374.078
        0.0225        372.325
        0.0228        370.587
        0.0231        368.949
        0.0234        367.483
        0.0237        366.253
         0.024        364.974
        0.0243         363.62
        0.0246        362.644
        0.0249        361.995
        0.0252        360.484
        0.0255         359.36
        0.0258         358.62
        0.0261         357.45
        0.0264         354.37
        0.0267         351.49
         0.027        348.888
        0.0273         346.48
        0.0276         344.23
        0.0279        342.133
        0.0282         340.19
        0.0285        338.406
        0.0288        336.801
        0.0291        335.407
        0.0294        334.177
        0.0297        333.087
          0.03        332.144
        0.0303        331.364
        0.0306        330.775
        0.0309        330.412
        0.0312         330.29
