# r (m)    potential (V)
             0       -4438.15
        0.0003       -4438.78
        0.0006        -4440.4
        0.0009       -4443.06
        0.0012       -4447.17
        0.0015       -4454.02
        0.0018       -4465.17
        0.0021       -4481.95
        0.0024       -4505.24
        0.0027        -4535.4
         0.003       -4573.48
        0.0033       -4620.08
        0.0036       -4676.43
        0.0039       -4743.87
        0.0042       -4823.23
        0.0045       -4915.31
        0.0048          -5000
        0.0051          -5000
        0.0054          -5000
        0.0057          -5000
         0.006       -4540.05
        0.0063       -4105.98
        0.0066       -3743.66
        0.0069       -3433.05
        0.0072       -3162.04
        0.0075        -2922.5
        0.0078       -2708.63
        0.0081       -2516.07
        0.0084        -2341.5
        0.0087       -2182.36
         0.009       -2036.57
        0.0093       -1902.46
        0.0096       -1778.63
        0.0099       -1663.91
        0.0102       -1557.32
        0.0105       -1458.09
        0.0108       -1365.48
        0.0111       -1278.88
        0.0114       -1197.74
        0.0117       -1121.56
         0.012       -1049.94
        0.0123       -982.535
        0.0126       -919.015
        0.0129       -859.082
        0.0132       -802.493
        0.0135       -749.034
        0.0138       -698.409
        0.0141       -650.412
        0.0144       -604.895
        0.0147       -561.683
         0.015       -520.583
        0.0153       -481.457
        0.0156       -444.161
        0.0159       -408.545
        0.0162       -374.466
        0.0165       -341.781
        0.0168       -310.342
        0.0171        -279.99
        0.0174       -250.562
        0.0177       -221.877
         0.018       -193.662
        0.0183       -165.581
        0.0186       -137.144
        0.0189       -107.459
        0.0192       -74.9573
        0.0195       -36.8365
        0.0198              0
        0.0201              0
        0.0204              0
        0.0207       -2.39148
         0.021       -16.4742
        0.0213        -25.238
        0.0216         -30.91
        0.0219       -34.6767
        0.0222        -37.226
        0.0225       -38.9263
        0.0228       -40.0133
        0.0231       -40.6507
        0.0234       -40.9554
        0.0237       -41.0126
         0.024       -40.8849
        0.0243        -40.619
        0.0246       -40.2505
        0.0249       -39.8065
        0.0252       -39.3078
        0.0255       -38.7706
        0.0258       -38.2077
        0.0261        -37.629
        0.0264       -37.0423
        0.0267       -36.4535
         0.027       -35.8674
        0.0273       -35.2872
        0.0276       -34.7155
        0.0279       -34.1537
        0.0282       -33.6028
        0.0285       -33.0628
        0.0288       -32.5332
        0.0291        -32.013
        0.0294       -31.5003
        0.0297       -30.9922
          0.03       -30.4852
        0.0303       -29.9782
        0.0306       -29.4904
        0.0309       -29.1431
        0.0312       -28.9102
        0.0315       -28.6798
        0.0318       -28.4411
        0.0321       -28.1983
        0.0324       -27.9564
        0.0327       -27.7194
         0.033       -27.4902
        0.0333       -27.2712
        0.0336       -27.0642
        0.0339       -26.8702
        0.0342       -26.6897
        0.0345       -26.5219
        0.0348       -26.3659
        0.0351       -26.2202
        0.0354       -26.0837
        0.0357       -25.9551
         0.036       -25.8336
        0.0363       -25.7183
        0.0366       -25.6086
        0.0369        -25.504
        0.0372       -25.4041
        0.0375       -25.3085
        0.0378       -25.2168
        0.0381       -25.1289
        0.0384       -25.0445
        0.0387       -24.9635
         0.039       -24.8858
        0.0393       -24.8113
        0.0396       -24.7401
        0.0399       -24.6724
        0.0402       -24.6083
        0.0405       -24.5481
        0.0408       -24.4925
        0.0411       -24.4421
        0.0414       -24.3975
        0.0417       -24.3594
         0.042       -24.3283
        0.0423       -24.3044
        0.0426       -24.2873
        0.0429       -24.2762
        0.0432         -24.27
        0.0435       -24.2676
        0.0438       -24.2681
        0.0441       -24.2706
        0.0444       -24.2742
        0.0447       -24.2786
         0.045       -24.2832
        0.0453       -24.2879
        0.0456       -24.2923
        0.0459       -24.2963
        0.0462       -24.2998
        0.0465       -24.3028
        0.0468       -24.3052
        0.0471       -24.3069
        0.0474        -24.308
        0.0477       -24.3084
