# r (m)    potential (V)
             0       -4438.15
        0.0003       -4441.28
        0.0006       -4448.67
        0.0009       -4459.05
        0.0012       -4472.74
        0.0015        -4489.6
        0.0018       -4509.65
        0.0021       -4533.87
        0.0024       -4562.87
        0.0027       -4597.48
         0.003       -4638.99
        0.0033       -4689.05
        0.0036       -4749.13
        0.0039       -4820.15
        0.0042       -4901.91
        0.0045       -4989.19
        0.0048          -5000
        0.0051          -5000
        0.0054          -5000
        0.0057       -4585.39
         0.006       -4167.45
        0.0063       -3808.99
        0.0066       -3500.05
        0.0069       -3230.27
        0.0072       -2991.85
        0.0075       -2779.05
        0.0078       -2587.63
        0.0081       -2414.27
        0.0084       -2256.43
        0.0087       -2112.02
         0.009       -1979.29
        0.0093       -1856.85
        0.0096       -1743.51
        0.0099       -1638.32
        0.0102       -1540.46
        0.0105       -1449.21
        0.0108       -1363.97
        0.0111       -1284.22
        0.0114       -1209.46
        0.0117       -1139.31
         0.012       -1073.45
        0.0123       -1011.54
        0.0126       -953.277
        0.0129       -898.407
        0.0132       -846.696
        0.0135        -797.94
        0.0138           -752
        0.0141       -708.666
        0.0144       -667.794
        0.0147       -629.252
         0.015       -592.839
        0.0153       -558.418
        0.0156       -525.914
        0.0159       -495.184
        0.0162       -466.151
        0.0165       -438.798
        0.0168       -412.943
        0.0171       -388.517
        0.0174       -365.468
        0.0177       -343.723
         0.018       -323.215
        0.0183       -303.891
        0.0186       -285.705
        0.0189       -268.616
        0.0192       -252.597
        0.0195       -237.641
        0.0198       -223.768
        0.0201       -211.091
        0.0204       -199.315
        0.0207       -188.217
         0.021       -177.801
        0.0213       -167.954
        0.0216       -158.606
        0.0219       -149.721
        0.0222       -141.255
        0.0225       -133.176
        0.0228       -125.455
        0.0231       -118.067
        0.0234        -110.99
        0.0237       -104.203
         0.024         -97.69
        0.0243       -91.4355
        0.0246       -85.4217
        0.0249       -79.6271
        0.0252       -74.0311
        0.0255       -68.6162
        0.0258       -63.3672
        0.0261       -58.2709
        0.0264       -53.3149
        0.0267        -48.488
         0.027       -43.7796
        0.0273       -39.1795
        0.0276       -34.6781
        0.0279       -30.2664
        0.0282       -25.9357
        0.0285       -21.6778
        0.0288       -17.4849
        0.0291         -13.35
        0.0294       -9.26646
        0.0297       -5.22839
          0.03       -1.23104
        0.0303              0
        0.0306              0
        0.0309              0
        0.0312              0
        0.0315              0
        0.0318              0
        0.0321              0
        0.0324              0
        0.0327              0
         0.033              0
        0.0333              0
        0.0336              0
        0.0339              0
        0.0342              0
        0.0345              0
        0.0348              0
        0.0351              0
        0.0354              0
        0.0357              0
         0.036              0
        0.0363              0
        0.0366              0
        0.0369              0
        0.0372              0
        0.0375              0
        0.0378              0
        0.0381              0
        0.0384              0
        0.0387              0
         0.039              0
        0.0393              0
        0.0396              0
        0.0399              0
        0.0402              0
        0.0405              0
        0.0408              0
        0.0411              0
        0.0414              0
        0.0417              0
         0.042              0
        0.0423              0
        0.0426              0
        0.0429              0
        0.0432              0
        0.0435              0
        0.0438              0
        0.0441              0
        0.0444              0
        0.0447              0
         0.045              0
        0.0453              0
        0.0456              0
        0.0459              0
        0.0462              0
        0.0465              0
        0.0468              0
        0.0471              0
        0.0474              0
        0.0477              0
