# r (m)    potential (V)
             0       -4415.42
        0.0003       -4413.12
        0.0006        -4416.9
        0.0009       -4426.51
        0.0012       -4439.83
        0.0015        -4456.2
        0.0018       -4475.66
        0.0021       -4498.73
        0.0024       -4525.77
        0.0027       -4557.73
         0.003        -4595.9
        0.0033       -4641.16
        0.0036       -4694.88
        0.0039       -4758.57
        0.0042       -4833.47
        0.0045       -4920.29
        0.0048          -5000
        0.0051          -5000
        0.0054          -5000
        0.0057          -5000
         0.006       -4545.78
        0.0063       -4117.45
        0.0066       -3760.08
        0.0069       -3453.77
        0.0072        -3186.5
        0.0075       -2950.28
        0.0078       -2739.41
        0.0081       -2549.59
        0.0084       -2377.55
        0.0087        -2220.8
         0.009       -2077.32
        0.0093       -1945.42
        0.0096       -1823.67
        0.0099       -1710.94
        0.0102       -1606.27
        0.0105       -1509.05
        0.0108       -1418.63
        0.0111       -1334.37
        0.0114       -1255.79
        0.0117       -1182.35
         0.012       -1113.54
        0.0123       -1048.94
        0.0126       -988.166
        0.0129       -930.919
        0.0132       -876.994
        0.0135       -826.232
        0.0138       -778.364
        0.0141       -733.244
        0.0144       -690.685
        0.0147        -650.45
         0.015       -612.539
        0.0153       -576.932
        0.0156       -543.283
        0.0159       -511.468
        0.0162       -481.443
        0.0165       -453.258
        0.0168        -426.68
        0.0171       -401.582
        0.0174       -377.884
        0.0177       -355.542
         0.018       -334.512
        0.0183       -314.747
        0.0186       -296.288
        0.0189       -279.148
        0.0192       -263.248
        0.0195       -248.428
        0.0198       -235.017
        0.0201       -223.313
        0.0204       -213.042
        0.0207       -203.672
         0.021       -195.096
        0.0213       -187.264
        0.0216       -180.143
        0.0219       -173.648
        0.0222       -167.509
        0.0225       -161.766
        0.0228       -156.437
        0.0231       -151.459
        0.0234       -146.803
        0.0237        -142.47
         0.024       -138.468
        0.0243       -134.759
        0.0246        -131.34
        0.0249       -128.195
        0.0252       -125.287
        0.0255       -122.591
        0.0258       -120.091
        0.0261       -117.776
        0.0264       -115.634
        0.0267       -113.659
         0.027       -111.842
        0.0273       -110.176
        0.0276       -108.655
        0.0279       -107.273
        0.0282       -106.025
        0.0285       -104.908
        0.0288       -103.916
        0.0291        -103.05
        0.0294       -102.307
        0.0297       -101.686
          0.03       -101.187
        0.0303       -100.804
        0.0306       -100.533
        0.0309       -100.372
        0.0312       -100.319
