# iter      epot diff   scharge diff 
     1        222.715     0.00600864 
     2        226.697      0.0131958 
     3        1223.31      0.0132898 
     4        1332.43     0.00370784 
     5        359.123     0.00366424 
     6        290.427      0.0031634 
     7        246.275     0.00450435 
     8        208.824     0.00551694 
     9        250.213      0.0146119 
    10        1121.78      0.0147573 
    11        1188.55     0.00190089 
    12        334.481     0.00200833 
    13        273.081     0.00462828 
    14        400.261     0.00478167 
    15        420.883     0.00304896 
    16        404.335     0.00351566 
    17         402.71     0.00359951 
    18        487.426     0.00336371 
    19        450.132     0.00335029 
