particle,length
0,0.0148181
1,0.014808
2,0.104036
3,0.0150218
4,0.250902
5,0.0146529
6,0.742257
7,0.0150582
8,0.015537
9,0.198335
10,0.0147372
11,0.0149619
12,0.0159128
13,0.756603
14,0.0692596
15,0.820074
16,0.0167905
17,0.182929
18,0.0257642
19,0.635307
20,0.0680919
21,0.0587152
22,0.0290266
23,0.0147103
24,0.0145198
25,0.0259402
26,0.174461
27,0.014872
28,0.0200855
29,0.0148777
30,0.0264862
31,0.0255164
32,0.0597605
33,0.159453
34,0.0
35,0.0144734
36,0.0580213
37,0.19741
38,0.0162766
39,0.136748
40,0.0992443
41,0.159904
42,0.0192899
43,0.105339
44,0.0643289
45,0.0242447
46,0.208362
47,0.0144651
48,0.0579066
49,0.0732553
50,0.0241986
51,0.0152937
52,0.50109
53,0.0248834
54,0.098821
55,0.0693891
56,0.0551445
57,0.0248125
58,0.0919895
59,0.877628
60,0.0146735
61,0.0264079
62,0.0163613
63,0.0154667
64,0.0163625
65,0.0630362
66,0.0145872
67,0.0149079
68,0.132212
69,0.0551941
70,0.0262128
71,0.0149103
72,0.0702199
73,0.0145326
74,0.882049
75,0.0144676
76,0.0551133
77,0.0146315
78,0.111836
79,0.015169
80,0.0180177
81,0.124613
82,0.0165954
83,0.114658
84,0.0730488
85,0.0253529
86,0.0588725
87,0.0146114
88,0.78993
89,0.0152177
90,0.0588658
91,0.145154
92,0.083319
93,0.0151522
94,0.0189442
95,0.0245341
96,0.0247151
97,0.0603978
98,0.0281467
99,0.0252445
100,0.024612
101,0.0148437
102,0.058745
103,0.0147649
104,0.0274507
105,0.0757272
106,0.0578977
107,0.0177998
108,0.0149485
109,0.0980013
110,0.0256465
111,0.0150935
112,0.0262
113,0.0157124
114,0.0567055
115,0.0621213
116,0.0599488
117,0.0632703
118,0.0809347
119,0.0145539
120,0.0148176
121,0.0676068
122,0.0988453
123,0.287156
124,0.0712022
125,0.157449
126,0.0574458
127,0.0144707
128,0.0147755
129,0.0151448
130,0.056009
131,0.103387
132,0.0249135
133,0.016883
134,0.0718236
135,0.0147949
136,0.264113
137,0.057479
138,0.014811
139,0.81006
140,0.0667007
141,0.106036
142,0.0635052
143,0.0565763
144,0.0177511
145,0.0150337
146,0.0156457
147,0.0249781
148,0.0160567
149,0.0154369
150,0.0149291
151,0.0257353
152,0.0149448
153,0.144823
154,0.0150227
155,0.0146879
156,0.145522
157,0.0703004
158,0.0151221
159,0.0283401
160,0.0192322
161,0.0159453
162,0.0761368
163,0.0825928
164,0.266748
165,0.0836848
166,0.0154967
167,0.0978706
168,0.0224063
169,0.0247285
170,0.885319
171,0.0161053
172,0.376389
173,0.0159497
174,0.0145318
175,0.0145432
176,0.014729
177,0.0570353
178,0.0774657
179,0.0161762
180,0.0147749
181,0.115983
182,0.0148628
183,0.014936
184,0.0640759
